
Overlap Results

Collection(s):	GO
# overlaps shown:	10
# genesets in collections:	10271
# genes in comparison (n):	199
# genes in universe (N):	40071

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	1823	Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding. [GO:jl]	31	0.0170	2.2E-9	2.26E-5
GO_REGULATION_OF_HYDROLASE_ACTIVITY	1302	Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3. [EC:3.-.-.-, GOC:ai]	24	0.0184	3.87E-8	1.99E-4
GO_GOLGI_APPARATUS	1598	A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways. [ISBN:0198506732]	26	0.0163	1.18E-7	3.5E-4
GO_WHOLE_MEMBRANE	1721	Any lipid bilayer that completely encloses some structure, and all the proteins embedded in it or attached to it.  Examples include the plasma membrane and most organelle membranes. [GOC:dos]	27	0.0157	1.36E-7	3.5E-4
GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	655	Interacting selectively and non-covalently with an identical protein to form a homodimer. [GOC:jl]	16	0.0244	2.13E-7	3.87E-4
GO_PROTEIN_DIMERIZATION_ACTIVITY	1023	The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits. [ISBN:0198506732]	20	0.0196	2.26E-7	3.87E-4
GO_NEUROGENESIS	1674	Generation of cells within the nervous system. [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]	26	0.0155	2.88E-7	3.95E-4
GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	509	Any series of molecular signals in which a small monomeric GTPase relays one or more of the signals. [GOC:mah]	14	0.0275	3.08E-7	3.95E-4
GO_NEURON_PROJECTION	1366	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite. [GOC:jl, http://www.cogsci.princeton.edu/~wn/]	23	0.0168	3.73E-7	4.14E-4
GO_CELL_MOTILITY	1819	Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another. [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]	27	0.0148	4.04E-7	4.14E-4


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY	GO_GOLGI_APPARATUS	GO_WHOLE_MEMBRANE	GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY	GO_NEUROGENESIS	GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO_NEURON_PROJECTION	GO_CELL_MOTILITY
26229	B3GAT3	beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY	GO_GOLGI_APPARATUS							
815	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY		GO_WHOLE_MEMBRANE	GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY	GO_NEUROGENESIS		GO_NEURON_PROJECTION	GO_CELL_MOTILITY
1398	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY		GO_WHOLE_MEMBRANE			GO_NEUROGENESIS	GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		GO_CELL_MOTILITY
64805	P2RY12	purinergic receptor P2Y12 [Source:HGNC Symbol;Acc:HGNC:18124]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY		GO_WHOLE_MEMBRANE			GO_NEUROGENESIS			GO_CELL_MOTILITY
57148	RALGAPB	Ral GTPase activating protein non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:29221]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY				GO_PROTEIN_DIMERIZATION_ACTIVITY		GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		
396	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY					GO_NEUROGENESIS	GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		
10636	RGS14	regulator of G protein signaling 14 [Source:HGNC Symbol;Acc:HGNC:9996]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY					GO_NEUROGENESIS		GO_NEURON_PROJECTION	
57522	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17382]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY						GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		GO_CELL_MOTILITY
398	ARHGDIG	Rho GDP dissociation inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:680]	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_REGULATION_OF_HYDROLASE_ACTIVITY						GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		
